Country,Year,Disease,Disease Category,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
Japan,2021,Diabetes,Autoimmune,11.24,4.78,5.68,947147.0,66.78,4.46,1.2,98.55,7.43,46.04
Saudi Arabia,2023,Hypertension,Metabolic,14.72,13.9,3.28,28737.0,97.73,4.51,5.6,85.19,3.9,76.37
Argentina,2024,Cancer,Parasitic,10.94,12.88,6.25,419192.0,94.54,1.99,5.36,72.52,5.36,37.11
Brazil,2024,Diabetes,Genetic,0.73,9.28,1.09,4233.0,54.43,2.58,3.1,61.8,3.23,25.44
Russia,2021,Diabetes,Autoimmune,14.29,1.57,7.12,920061.0,70.1,2.61,4.03,87.97,0.24,39.47
China,2023,Cancer,Genetic,18.82,1.97,0.55,421832.0,87.89,1.42,3.33,83.95,1.4,30.79
Nigeria,2021,Asthma,Bacterial,13.26,5.25,9.15,252392.0,63.71,2.41,3.2,88.03,1.84,72.54
UK,2020,Diabetes,Bacterial,0.64,7.28,1.91,140343.0,53.97,1.9,9.73,95.04,6.01,36.66
Japan,2024,Hypertension,Cardiovascular,15.89,1.56,3.22,505520.0,99.7,2.43,5.91,66.54,5.08,67.6
India,2022,Cancer,Neurological,12.16,5.23,4.93,462287.0,83.75,0.74,6.91,92.27,0.27,31.35
China,2022,Asthma,Parasitic,4.74,6.86,1.66,428767.0,86.24,3.82,3.85,77.22,9.0,75.99
Russia,2021,Diabetes,Chronic,15.84,11.62,2.26,717792.0,82.71,3.15,0.52,68.02,3.23,32.73
South Africa,2023,Diabetes,Viral,1.61,15.0,7.66,353105.0,57.01,3.38,1.03,74.88,7.5,56.89
Russia,2020,Cancer,Respiratory,10.72,3.24,4.78,13136.0,83.91,2.39,8.69,79.27,7.3,82.78
Saudi Arabia,2022,Asthma,Chronic,17.0,3.19,7.51,414508.0,53.17,4.8,3.64,88.64,3.54,84.93
Germany,2022,Hypertension,Infectious,8.42,3.03,4.21,349872.0,98.93,4.26,0.74,93.24,4.62,63.26
Turkey,2022,Hypertension,Neurological,6.65,13.05,9.6,509170.0,71.69,1.85,9.29,50.29,1.27,40.37
South Korea,2021,Cancer,Respiratory,9.63,3.08,1.6,934854.0,99.02,2.88,3.76,56.67,3.31,26.73
South Africa,2022,Asthma,Bacterial,19.97,2.34,0.32,542641.0,99.41,1.89,8.57,63.48,5.77,27.51
Mexico,2022,Hypertension,Neurological,10.89,13.71,4.62,192860.0,98.57,4.48,4.41,53.43,9.39,33.4
Brazil,2022,Cancer,Bacterial,8.95,4.13,0.24,303517.0,59.23,4.75,3.23,78.06,7.52,58.71
Canada,2023,Asthma,Cardiovascular,16.73,8.97,7.67,718094.0,87.45,2.12,5.36,64.75,9.96,84.13
Nigeria,2024,Diabetes,Bacterial,16.13,12.82,5.0,842486.0,51.52,1.65,4.99,59.1,1.7,61.67
South Korea,2022,Diabetes,Autoimmune,11.55,9.25,4.31,407221.0,97.45,3.35,5.15,88.54,3.56,65.59
Brazil,2022,Asthma,Genetic,17.84,4.88,7.57,256524.0,55.41,2.39,5.44,60.58,5.97,20.95
Nigeria,2024,Cancer,Viral,16.21,2.77,2.93,867980.0,57.94,2.65,9.33,63.28,7.61,81.05
Italy,2023,Cancer,Genetic,5.83,12.81,5.14,124710.0,85.81,3.09,7.69,83.75,2.41,20.84
Saudi Arabia,2022,Cancer,Viral,11.87,13.66,6.55,312950.0,67.76,3.14,5.19,84.2,4.02,68.48
South Africa,2021,Cancer,Neurological,16.89,2.28,8.52,761302.0,50.41,1.98,2.06,54.03,6.97,25.4
Russia,2023,Asthma,Infectious,6.3,3.88,1.58,986205.0,65.37,4.26,9.33,65.09,1.0,79.76
Turkey,2022,Hypertension,Parasitic,7.82,0.38,4.99,464661.0,98.18,3.13,7.7,50.65,3.15,58.32
South Korea,2021,Asthma,Infectious,19.93,2.45,7.88,753333.0,88.73,2.3,7.87,56.1,5.33,82.67
Nigeria,2022,Hypertension,Chronic,10.7,13.52,3.81,69807.0,53.61,0.98,2.52,98.62,6.44,33.1
Brazil,2022,Cancer,Neurological,19.51,4.68,6.78,277386.0,95.14,1.57,1.3,69.46,7.88,89.42
Turkey,2022,Cancer,Bacterial,8.03,14.96,7.94,964998.0,60.11,3.29,5.03,72.57,8.91,51.18
Italy,2020,Diabetes,Genetic,19.03,8.17,7.32,871072.0,50.9,4.31,9.99,83.76,1.24,57.99
Argentina,2023,Asthma,Cardiovascular,18.34,2.83,8.28,783142.0,57.58,2.49,8.77,52.67,2.7,85.15
South Africa,2024,Cancer,Metabolic,7.52,4.27,4.89,825890.0,92.74,2.97,5.02,80.68,5.45,78.83
Mexico,2020,Diabetes,Bacterial,20.0,8.4,8.41,633491.0,52.97,3.21,3.56,65.16,6.0,60.96
Germany,2024,Diabetes,Metabolic,9.58,8.0,4.89,331329.0,96.96,3.9,1.87,98.71,8.24,39.58
Brazil,2021,Diabetes,Parasitic,11.67,1.4,7.15,791176.0,79.4,1.36,5.85,75.46,3.51,40.13
USA,2024,Cancer,Autoimmune,4.95,13.4,4.89,501957.0,77.37,1.89,1.74,69.35,5.11,30.2
Turkey,2023,Asthma,Bacterial,12.23,1.46,8.93,488959.0,69.54,3.69,4.17,52.64,8.17,52.39
Russia,2021,Asthma,Cardiovascular,10.68,1.72,9.09,184119.0,97.04,3.5,8.91,83.15,3.2,75.18
Nigeria,2021,Diabetes,Bacterial,10.51,13.5,7.59,739521.0,98.01,4.52,8.72,54.74,3.36,80.42
Japan,2023,Diabetes,Genetic,1.41,3.63,7.97,895476.0,73.81,1.81,7.67,88.71,4.76,23.51
Argentina,2022,Cancer,Metabolic,14.61,10.02,2.76,832283.0,92.93,0.6,9.3,61.13,5.95,80.93
China,2024,Diabetes,Respiratory,6.8,12.66,6.49,944895.0,73.46,4.64,7.84,50.06,2.83,21.1
Nigeria,2021,Asthma,Cardiovascular,8.58,0.69,7.43,801434.0,76.19,2.31,4.35,59.51,9.98,80.59
South Africa,2020,Hypertension,Viral,13.67,4.27,2.36,713572.0,79.47,2.96,2.85,82.11,3.17,22.83
Germany,2024,Cancer,Infectious,12.01,1.51,3.18,259319.0,80.1,4.89,4.31,53.77,9.04,87.3
Indonesia,2022,Diabetes,Cardiovascular,16.52,4.63,4.54,358095.0,75.6,2.65,2.43,94.21,5.51,30.01
Saudi Arabia,2022,Asthma,Autoimmune,15.05,13.24,9.18,657837.0,51.08,0.98,3.29,51.35,4.39,42.9
Saudi Arabia,2022,Asthma,Cardiovascular,2.27,4.61,3.45,983158.0,52.04,2.52,1.58,63.97,7.22,28.07
Nigeria,2023,Cancer,Parasitic,18.98,6.59,6.58,293821.0,62.62,1.65,3.17,79.87,9.33,44.36
France,2024,Diabetes,Chronic,3.46,0.72,8.99,154641.0,88.17,1.43,4.48,83.93,5.12,38.76
Canada,2022,Asthma,Genetic,13.72,1.68,8.63,858573.0,57.79,2.75,3.61,74.69,9.45,39.93
UK,2024,Cancer,Parasitic,7.51,14.72,3.66,691766.0,64.71,1.46,3.07,73.34,5.25,23.21
Turkey,2022,Cancer,Respiratory,0.6,12.5,8.15,938225.0,95.93,3.79,7.05,60.88,7.66,34.6
Japan,2023,Asthma,Autoimmune,14.49,5.52,6.25,520437.0,89.73,3.48,3.54,72.47,9.32,78.27
China,2024,Diabetes,Bacterial,1.98,10.31,5.41,697314.0,63.9,0.77,2.73,90.1,6.91,76.4
China,2020,Hypertension,Respiratory,1.76,6.09,0.2,504049.0,94.87,0.54,6.13,73.77,2.66,23.42
China,2024,Diabetes,Bacterial,2.41,10.35,2.82,530589.0,78.83,3.88,1.01,59.06,1.16,73.47
Saudi Arabia,2021,Asthma,Infectious,2.01,5.1,6.7,35153.0,71.68,2.96,7.39,56.58,4.89,36.03
Nigeria,2022,Asthma,Viral,19.34,10.75,3.82,948537.0,62.0,4.81,5.08,70.12,6.9,53.57
Mexico,2024,Asthma,Cardiovascular,3.17,0.25,9.18,89863.0,77.31,4.18,3.14,57.89,5.41,84.49
Nigeria,2022,Asthma,Parasitic,8.98,13.05,6.94,426879.0,50.81,3.66,4.02,61.26,0.43,76.65
Mexico,2024,Diabetes,Metabolic,11.97,6.22,9.82,882357.0,55.08,2.51,2.77,69.13,7.18,71.24
Indonesia,2020,Diabetes,Cardiovascular,4.08,1.55,2.37,245847.0,58.92,2.28,2.08,62.41,3.38,69.4
Italy,2022,Cancer,Neurological,12.63,0.9,8.83,566242.0,95.78,3.8,6.92,67.36,6.34,37.3
Nigeria,2023,Diabetes,Metabolic,10.02,14.57,9.41,101035.0,87.98,1.8,7.9,52.78,8.79,33.44
Indonesia,2021,Asthma,Chronic,6.73,9.67,7.46,419693.0,80.78,4.71,4.53,57.66,4.42,51.3
India,2024,Cancer,Metabolic,12.59,2.4,2.08,630715.0,75.58,3.0,9.09,89.32,1.9,49.83
Canada,2021,Asthma,Autoimmune,0.78,3.5,9.66,642013.0,64.4,0.71,1.3,65.5,2.01,22.84
Argentina,2022,Hypertension,Genetic,1.59,4.33,6.8,580278.0,62.56,2.26,4.38,72.67,5.67,68.82
Mexico,2022,Asthma,Genetic,10.26,12.78,7.34,434919.0,74.33,4.9,3.2,63.77,8.65,36.36
South Africa,2020,Hypertension,Neurological,10.98,1.95,0.75,936135.0,68.23,4.47,2.96,91.34,1.83,55.76
Nigeria,2022,Hypertension,Neurological,7.04,2.57,8.66,734016.0,70.51,2.11,6.46,89.67,3.24,28.78
Mexico,2022,Cancer,Infectious,19.86,9.05,6.75,534945.0,64.08,1.79,3.15,97.01,9.86,60.85
France,2022,Diabetes,Neurological,15.08,13.54,5.63,135621.0,69.08,3.96,9.22,80.99,8.32,75.49
Turkey,2023,Hypertension,Infectious,12.64,14.89,4.96,739040.0,98.49,3.01,2.79,74.46,6.95,52.53
France,2022,Diabetes,Viral,14.33,9.9,6.53,483025.0,82.48,1.89,4.78,77.12,8.12,66.16
Brazil,2022,Diabetes,Metabolic,17.27,9.17,9.26,422861.0,99.11,3.01,1.22,50.04,4.78,61.38
Turkey,2023,Asthma,Bacterial,16.15,3.89,8.69,869532.0,59.18,3.75,7.05,84.42,2.49,75.12
USA,2021,Asthma,Cardiovascular,16.88,0.14,6.92,866567.0,67.78,3.08,9.23,80.16,2.41,37.25
Saudi Arabia,2020,Cancer,Genetic,7.59,10.33,7.6,968510.0,53.35,2.88,5.73,69.37,2.01,35.31
Saudi Arabia,2022,Diabetes,Autoimmune,18.45,8.27,2.46,273748.0,62.5,4.22,5.34,70.25,1.74,31.11
Brazil,2022,Cancer,Infectious,17.86,2.61,4.5,464552.0,74.4,2.77,7.11,52.38,3.23,87.61
Japan,2024,Cancer,Respiratory,5.35,7.07,6.06,824141.0,89.45,3.19,1.58,58.31,5.12,46.43
Saudi Arabia,2020,Cancer,Bacterial,11.34,8.28,9.07,809669.0,90.93,3.94,0.87,67.03,9.99,69.93
USA,2020,Cancer,Viral,12.81,0.47,0.38,766570.0,87.61,2.16,6.0,61.12,2.67,57.71
Mexico,2021,Asthma,Genetic,9.93,9.26,3.63,440979.0,68.27,3.31,7.81,78.91,1.6,51.37
USA,2021,Hypertension,Genetic,18.67,14.02,1.91,276471.0,84.93,1.16,0.87,73.98,8.1,44.2
Germany,2021,Asthma,Bacterial,1.99,4.09,8.52,342840.0,92.31,4.31,6.78,78.4,4.39,51.51
China,2024,Asthma,Infectious,14.7,4.7,0.4,466889.0,94.57,3.51,6.82,75.97,2.69,35.16
Brazil,2021,Diabetes,Viral,14.58,0.93,6.96,203611.0,92.45,1.66,9.52,79.59,6.0,33.94
USA,2023,Asthma,Respiratory,18.3,8.89,3.52,553793.0,99.35,4.62,8.82,81.52,6.97,32.16
Mexico,2022,Hypertension,Cardiovascular,9.2,7.84,3.62,273225.0,72.5,1.29,8.06,67.65,2.3,33.46
Brazil,2021,Hypertension,Metabolic,0.36,5.99,4.59,263986.0,65.64,3.13,9.03,67.05,2.47,38.6
Italy,2020,Hypertension,Chronic,3.34,4.78,1.62,811651.0,59.49,1.32,6.38,76.48,8.54,64.46
Japan,2024,Cancer,Infectious,5.66,2.2,8.64,669550.0,55.1,2.23,4.75,82.41,1.03,31.64
China,2021,Cancer,Chronic,17.47,9.37,1.23,201504.0,94.15,4.53,1.77,86.97,2.7,53.44
Indonesia,2022,Hypertension,Infectious,7.39,10.82,8.02,867600.0,93.43,3.13,1.13,85.56,1.89,75.34
Saudi Arabia,2021,Diabetes,Cardiovascular,3.84,14.2,9.52,326535.0,99.28,2.89,5.3,53.07,2.23,68.91
Turkey,2024,Diabetes,Genetic,0.37,8.68,7.71,763315.0,56.7,4.33,4.88,53.89,8.28,32.52
Japan,2021,Asthma,Autoimmune,14.26,10.65,3.04,776099.0,54.5,3.37,5.89,98.54,7.72,63.02
Russia,2023,Cancer,Metabolic,1.61,14.85,6.33,198700.0,72.77,4.19,7.99,68.34,4.66,84.2
South Africa,2022,Diabetes,Cardiovascular,3.74,6.09,3.95,736412.0,91.47,0.52,2.41,96.36,3.19,24.02
South Africa,2022,Diabetes,Infectious,6.92,13.02,3.28,791010.0,85.64,0.52,7.54,95.3,7.53,20.74
Germany,2022,Asthma,Chronic,14.24,8.77,2.08,701954.0,60.22,1.45,4.19,76.44,8.11,88.74
South Korea,2023,Hypertension,Infectious,10.09,8.03,3.94,153565.0,95.71,4.2,6.31,60.05,6.26,78.11
Brazil,2024,Diabetes,Autoimmune,1.64,3.79,4.79,675910.0,63.95,3.32,1.33,72.95,8.87,81.23
Italy,2022,Cancer,Chronic,19.07,0.58,6.04,53938.0,62.53,1.98,9.42,65.16,8.42,58.98
UK,2022,Asthma,Autoimmune,11.43,13.64,5.24,454115.0,59.85,0.82,9.12,61.33,2.26,22.38
Japan,2024,Diabetes,Bacterial,12.54,4.9,9.33,603757.0,76.79,4.23,1.94,60.18,2.58,51.72
South Africa,2024,Hypertension,Autoimmune,0.27,9.53,7.03,805820.0,73.55,1.12,3.42,78.62,2.02,52.6
Mexico,2023,Cancer,Metabolic,6.46,10.71,1.6,108662.0,97.85,3.98,3.04,69.94,0.32,42.5
Germany,2024,Cancer,Genetic,14.33,3.23,3.14,613084.0,90.22,1.2,3.91,86.45,1.36,71.33
USA,2021,Diabetes,Parasitic,17.84,1.27,0.66,614595.0,84.65,3.82,8.66,82.84,3.45,35.98
Japan,2023,Asthma,Neurological,7.09,3.82,2.2,302037.0,76.49,1.69,9.86,67.63,7.99,74.75
South Korea,2022,Diabetes,Neurological,13.61,1.51,5.8,49349.0,68.02,1.43,4.97,66.27,0.47,73.25
Mexico,2021,Asthma,Autoimmune,6.07,9.41,9.38,149676.0,97.13,4.49,4.19,74.26,5.3,54.07
Mexico,2024,Cancer,Metabolic,2.84,10.57,0.27,146678.0,58.01,4.74,7.03,80.07,8.51,77.71
Indonesia,2023,Cancer,Neurological,1.06,6.94,0.55,750976.0,51.21,4.84,1.34,68.05,2.3,37.03
Saudi Arabia,2022,Cancer,Chronic,14.12,13.02,7.32,270571.0,88.74,1.66,5.51,58.39,4.18,36.9
Germany,2020,Cancer,Chronic,10.71,8.42,1.15,813981.0,97.45,1.9,3.13,88.55,5.17,80.55
Japan,2021,Diabetes,Infectious,10.97,11.59,1.47,198572.0,55.35,0.79,3.82,90.83,4.36,76.06
China,2023,Diabetes,Metabolic,0.45,10.4,5.38,711237.0,53.01,4.68,3.53,60.19,7.42,24.5
Saudi Arabia,2024,Cancer,Viral,2.51,14.22,3.42,958666.0,77.4,4.16,1.35,56.11,8.71,45.77
Saudi Arabia,2023,Cancer,Autoimmune,18.07,5.44,6.75,175498.0,65.0,0.96,3.17,63.5,6.66,71.79
Turkey,2022,Cancer,Cardiovascular,13.71,1.48,3.46,260202.0,50.02,4.76,4.55,79.68,0.31,65.94
Saudi Arabia,2023,Hypertension,Genetic,17.74,4.62,5.8,577940.0,88.53,1.04,9.31,54.39,7.61,58.3
South Korea,2023,Hypertension,Neurological,18.59,11.33,7.16,664084.0,77.72,2.68,3.91,85.37,8.39,47.38
Mexico,2021,Diabetes,Infectious,1.88,3.13,9.21,137113.0,81.01,2.23,7.11,66.01,1.09,80.86
Turkey,2023,Hypertension,Neurological,3.21,4.36,0.78,484623.0,68.33,3.97,6.0,63.14,0.59,21.11
Mexico,2023,Diabetes,Infectious,5.17,11.3,9.4,360984.0,86.88,4.47,2.78,55.36,4.22,50.21
Saudi Arabia,2021,Cancer,Infectious,2.77,13.57,6.32,718842.0,90.18,1.27,9.11,50.77,4.24,89.16
Saudi Arabia,2020,Asthma,Cardiovascular,6.98,6.51,9.39,836042.0,63.15,3.09,8.76,67.31,2.46,73.9
Germany,2021,Hypertension,Genetic,17.32,3.41,4.73,10752.0,83.56,4.38,4.33,79.84,6.17,85.21
South Africa,2024,Diabetes,Cardiovascular,5.56,6.07,6.6,339479.0,52.8,3.65,4.66,58.49,6.14,28.09
USA,2024,Cancer,Respiratory,16.25,7.64,7.56,791216.0,88.43,0.62,9.99,65.96,3.63,26.72
Germany,2023,Diabetes,Metabolic,19.24,6.88,1.83,998135.0,72.12,0.85,2.18,94.63,8.9,60.39
Argentina,2021,Cancer,Autoimmune,7.59,9.13,0.87,801687.0,67.16,3.49,8.42,80.99,9.86,81.31
Mexico,2020,Cancer,Neurological,19.98,6.07,6.93,709048.0,97.02,4.65,9.37,66.12,6.62,27.96
Australia,2023,Diabetes,Metabolic,2.0,0.15,6.41,912882.0,65.11,1.76,7.76,71.8,8.83,34.35
Nigeria,2024,Cancer,Respiratory,17.41,8.35,0.95,562956.0,93.9,4.13,3.1,76.12,5.26,36.37
Indonesia,2021,Asthma,Infectious,16.87,5.46,9.47,131292.0,76.15,2.74,0.82,66.86,6.37,82.59
Italy,2022,Hypertension,Genetic,17.06,8.17,0.8,86580.0,68.69,2.99,8.73,74.26,2.81,89.51
Nigeria,2022,Hypertension,Cardiovascular,15.86,13.31,9.83,86227.0,74.07,2.02,4.94,54.28,7.86,54.24
Indonesia,2022,Asthma,Metabolic,15.98,12.51,9.71,303679.0,57.16,4.76,9.56,87.82,6.06,44.53
Brazil,2021,Hypertension,Parasitic,16.41,10.79,9.88,674833.0,74.47,3.43,3.21,65.69,9.78,43.25
Indonesia,2020,Asthma,Respiratory,14.34,11.53,0.33,311593.0,72.6,4.99,7.67,81.96,9.93,86.99
Indonesia,2020,Hypertension,Infectious,0.85,1.99,4.13,878885.0,77.52,2.19,7.96,66.32,4.36,87.46
South Korea,2020,Diabetes,Chronic,5.52,12.02,4.57,585618.0,62.58,3.17,5.16,74.64,5.62,68.76
India,2020,Asthma,Cardiovascular,1.49,4.29,0.94,170271.0,60.7,0.6,8.13,75.78,5.28,70.07
France,2022,Hypertension,Infectious,10.93,11.88,5.33,767008.0,93.61,1.78,7.06,62.49,8.52,59.96
Saudi Arabia,2022,Hypertension,Cardiovascular,19.39,0.48,0.52,111109.0,94.83,1.21,8.38,94.43,7.74,73.98
India,2024,Asthma,Autoimmune,18.92,10.45,5.14,563162.0,57.33,3.11,8.22,76.74,4.04,55.67
UK,2023,Hypertension,Chronic,10.75,2.1,3.63,1526.0,54.28,4.39,7.75,51.75,5.85,71.36
South Africa,2022,Cancer,Respiratory,3.48,0.21,4.13,778998.0,51.25,4.43,6.06,95.1,6.82,25.43
Italy,2020,Hypertension,Cardiovascular,11.55,9.19,4.05,188533.0,84.56,1.67,3.07,67.55,9.85,39.93
Nigeria,2021,Asthma,Bacterial,19.9,12.05,5.67,156361.0,92.0,3.49,8.81,79.9,0.97,88.61
UK,2020,Diabetes,Neurological,17.62,10.46,4.16,759288.0,76.98,2.56,4.96,78.03,3.98,32.27
Japan,2022,Diabetes,Neurological,18.53,2.3,9.72,216599.0,71.27,3.88,0.82,88.29,5.09,36.37
Mexico,2023,Cancer,Viral,13.94,6.91,4.7,114462.0,78.4,3.13,2.38,55.67,6.79,88.88
Germany,2024,Cancer,Respiratory,0.28,0.86,3.43,259884.0,95.18,2.44,1.17,71.7,8.29,87.86
Italy,2024,Cancer,Neurological,3.24,4.81,6.22,998194.0,72.63,1.34,5.36,69.55,9.56,73.31
Japan,2023,Cancer,Neurological,9.72,7.52,0.79,563004.0,53.01,3.76,2.59,68.97,1.08,25.96
