Date,City,Country,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
2024-01-01,New York,USA,38.0,120.0,182.9,24.3,26.0,9.1,153.3,18.6,40.0,13.2
2024-01-01,Los Angeles,USA,280.0,38.4,46.9,41.8,34.7,3.78,190.7,-2.2,59.0,9.5
2024-01-01,London,UK,117.0,168.1,34.3,81.5,8.2,3.67,105.4,36.3,62.0,3.4
2024-01-01,Beijing,China,197.0,96.8,35.4,18.5,39.4,9.51,92.8,29.9,32.0,1.8
2024-01-01,Delhi,India,187.0,76.2,226.8,46.9,17.2,1.02,68.4,9.9,55.0,3.3
2024-01-01,Paris,France,170.0,217.6,278.0,21.7,45.2,1.77,125.2,37.4,67.0,1.4
2024-01-01,Tokyo,Japan,177.0,16.1,296.5,9.5,46.0,3.75,103.4,15.5,43.0,1.8
2024-01-01,Sydney,Australia,164.0,42.0,81.8,26.1,18.4,5.48,79.9,-6.8,81.0,14.3
2024-01-01,São Paulo,Brazil,123.0,46.7,104.5,6.4,19.7,1.08,49.9,7.1,10.0,5.3
2024-01-01,Cairo,Egypt,241.0,103.6,217.9,74.4,16.4,1.25,190.9,37.5,23.0,14.0
2024-01-02,Cairo,Egypt,271.0,123.8,155.5,46.3,35.2,1.16,34.6,-1.5,90.0,1.5
2024-01-02,São Paulo,Brazil,114.0,234.1,30.1,57.4,4.5,7.47,82.9,8.0,56.0,2.0
2024-01-02,Sydney,Australia,199.0,146.1,160.3,14.4,5.7,1.76,65.7,-5.5,34.0,12.3
2024-01-02,Tokyo,Japan,106.0,58.7,270.8,79.0,2.7,0.87,72.0,12.7,66.0,0.8
2024-01-02,Paris,France,102.0,106.2,201.2,92.5,10.4,2.34,182.8,3.2,69.0,2.7
2024-01-02,Los Angeles,USA,257.0,43.1,249.5,72.5,26.9,8.65,115.8,26.4,15.0,5.3
2024-01-02,Beijing,China,269.0,184.4,198.7,5.3,43.4,3.87,151.4,38.4,16.0,0.7
2024-01-02,London,UK,116.0,86.1,35.2,67.4,16.6,7.95,104.8,6.8,13.0,13.4
2024-01-02,New York,USA,32.0,69.7,179.1,28.1,43.2,8.04,114.3,38.2,73.0,1.7
2024-01-02,Delhi,India,36.0,105.1,148.1,18.8,20.7,0.57,148.2,-0.3,88.0,4.7
2024-01-03,Sydney,Australia,68.0,100.8,292.4,6.9,9.1,6.28,19.0,23.2,87.0,8.2
2024-01-03,Cairo,Egypt,181.0,67.9,105.6,23.1,8.1,8.22,136.7,11.2,22.0,10.4
2024-01-03,São Paulo,Brazil,290.0,211.9,227.3,31.8,46.9,6.93,180.7,-9.9,37.0,7.7
2024-01-03,Paris,France,124.0,83.3,77.8,20.2,19.8,8.29,57.4,14.0,84.0,4.5
2024-01-03,Tokyo,Japan,120.0,23.8,164.6,56.3,27.3,4.38,116.5,19.7,23.0,10.9
2024-01-03,Beijing,China,140.0,154.6,197.4,27.4,41.4,7.51,161.3,18.3,52.0,0.9
2024-01-03,Delhi,India,37.0,103.1,252.0,89.2,42.1,8.81,52.7,9.9,68.0,8.2
2024-01-03,London,UK,244.0,124.4,211.6,94.0,43.2,1.72,192.8,29.7,63.0,3.6
2024-01-03,Los Angeles,USA,291.0,225.9,97.7,74.0,48.9,0.66,16.9,21.5,65.0,3.3
2024-01-03,New York,USA,251.0,99.0,102.8,85.5,34.2,2.28,160.9,-7.3,60.0,12.3
2024-01-04,São Paulo,Brazil,81.0,43.3,101.2,24.8,47.8,1.28,155.5,39.6,80.0,6.8
2024-01-04,Sydney,Australia,256.0,138.1,272.6,68.6,35.3,0.17,134.7,8.2,90.0,14.3
2024-01-04,Tokyo,Japan,98.0,95.0,133.3,65.8,20.6,9.26,122.4,15.7,30.0,6.1
2024-01-04,Paris,France,297.0,105.1,29.3,85.8,12.6,4.45,168.0,20.8,37.0,6.0
2024-01-04,Cairo,Egypt,197.0,47.2,24.6,98.0,23.3,4.91,29.3,23.6,68.0,13.9
2024-01-04,Beijing,China,175.0,72.1,173.3,51.7,27.8,4.23,106.3,19.3,15.0,1.2
2024-01-04,London,UK,289.0,161.7,17.9,96.9,25.1,7.44,175.1,37.8,73.0,14.9
2024-01-04,Los Angeles,USA,187.0,42.4,122.9,10.6,5.4,8.08,37.4,21.6,47.0,5.1
2024-01-04,New York,USA,171.0,246.7,190.0,89.8,27.3,1.26,163.8,-7.4,74.0,12.2
2024-01-04,Delhi,India,89.0,155.9,214.6,85.6,17.9,6.42,166.2,-7.9,54.0,4.3
2024-01-05,Cairo,Egypt,282.0,105.7,205.7,45.4,49.9,4.68,42.6,-9.9,90.0,6.5
2024-01-05,São Paulo,Brazil,183.0,188.4,278.6,61.8,13.5,3.99,68.8,28.8,63.0,4.7
2024-01-05,Sydney,Australia,250.0,108.8,184.2,35.2,15.7,1.97,34.2,2.1,42.0,12.9
2024-01-05,Tokyo,Japan,217.0,200.5,129.1,41.0,29.5,8.34,116.1,21.8,30.0,9.8
2024-01-05,Paris,France,35.0,249.2,179.8,36.8,40.0,1.36,76.6,8.6,25.0,12.0
2024-01-05,Delhi,India,56.0,29.9,154.9,26.5,35.5,1.54,188.3,-6.3,53.0,2.8
2024-01-05,London,UK,261.0,95.8,31.1,75.7,8.8,7.33,22.5,3.2,51.0,6.1
2024-01-05,Los Angeles,USA,181.0,221.7,82.4,40.7,3.5,1.9,25.2,-7.7,27.0,6.4
2024-01-05,New York,USA,169.0,246.2,98.8,26.2,37.0,2.39,78.6,6.0,88.0,14.2
2024-01-05,Beijing,China,147.0,218.2,55.4,52.9,28.8,2.19,140.1,30.1,78.0,13.7
2024-01-06,Tokyo,Japan,290.0,30.5,19.0,45.9,41.9,6.71,58.9,-9.7,55.0,7.1
2024-01-06,Cairo,Egypt,170.0,78.5,255.2,53.7,43.8,8.04,144.4,13.1,25.0,11.9
2024-01-06,São Paulo,Brazil,228.0,114.8,65.4,97.7,10.3,6.55,146.8,-3.7,85.0,7.6
2024-01-06,Paris,France,220.0,234.6,248.9,53.7,32.4,2.93,153.7,-1.2,16.0,4.3
2024-01-06,Sydney,Australia,67.0,103.7,263.6,91.7,39.7,1.51,84.5,-6.4,51.0,11.3
2024-01-06,Beijing,China,105.0,142.7,28.2,60.4,49.2,5.93,78.5,1.7,55.0,10.4
2024-01-06,New York,USA,92.0,22.0,52.1,24.4,46.2,1.24,111.1,24.8,34.0,0.8
2024-01-06,Los Angeles,USA,235.0,6.8,76.6,15.3,49.5,8.92,88.7,6.7,72.0,14.3
2024-01-06,Delhi,India,92.0,32.8,81.5,57.5,27.3,6.86,178.0,35.7,86.0,7.3
2024-01-06,London,UK,152.0,100.4,141.9,68.2,28.0,6.74,171.3,13.3,35.0,10.7
2024-01-07,São Paulo,Brazil,159.0,158.5,52.6,37.1,34.3,5.23,69.1,0.5,53.0,1.9
2024-01-07,Sydney,Australia,54.0,222.1,57.8,59.6,30.2,7.43,87.9,39.1,81.0,9.6
2024-01-07,Tokyo,Japan,179.0,172.7,63.3,23.7,3.4,4.68,105.1,37.5,35.0,8.4
2024-01-07,Paris,France,94.0,238.5,276.4,77.5,7.5,7.43,92.4,21.2,36.0,12.5
2024-01-07,Cairo,Egypt,224.0,155.2,189.5,30.6,39.7,1.22,148.1,36.1,72.0,2.6
2024-01-07,Beijing,China,100.0,52.1,103.1,74.6,41.7,2.7,148.7,-9.7,10.0,8.8
2024-01-07,London,UK,120.0,98.5,128.0,42.6,16.7,1.36,70.0,10.1,12.0,1.4
2024-01-07,Los Angeles,USA,93.0,14.2,163.8,77.2,11.5,2.62,143.3,35.5,21.0,8.4
2024-01-07,New York,USA,121.0,239.5,155.3,21.6,35.6,0.25,195.7,38.4,24.0,2.1
2024-01-07,Delhi,India,278.0,213.9,254.0,31.5,20.9,9.09,68.2,-0.3,83.0,3.2
2024-01-08,Cairo,Egypt,298.0,95.7,245.2,6.4,15.8,0.71,145.8,24.0,38.0,3.0
2024-01-08,São Paulo,Brazil,89.0,184.4,25.6,99.1,14.7,6.49,161.1,14.6,67.0,3.0
2024-01-08,Sydney,Australia,102.0,240.6,149.9,90.6,33.6,7.09,73.9,26.6,13.0,13.5
2024-01-08,Tokyo,Japan,183.0,66.8,288.9,23.9,43.3,7.72,75.6,-5.7,29.0,1.6
2024-01-08,Paris,France,173.0,119.0,269.8,14.7,16.0,7.99,14.8,35.9,26.0,1.0
2024-01-08,Delhi,India,264.0,154.6,72.4,27.1,7.9,1.17,84.6,16.5,73.0,0.7
2024-01-08,London,UK,210.0,237.2,21.8,83.4,11.1,4.4,181.4,8.2,42.0,4.1
2024-01-08,New York,USA,273.0,100.6,61.2,88.6,7.0,7.13,18.4,25.3,16.0,4.0
2024-01-08,Beijing,China,283.0,122.4,24.7,75.4,32.3,2.56,22.3,8.7,59.0,2.3
2024-01-08,Los Angeles,USA,166.0,174.6,189.6,11.8,46.4,5.15,166.6,3.3,12.0,1.4
2024-01-09,Cairo,Egypt,285.0,144.9,55.6,34.0,23.5,0.16,129.9,2.1,27.0,11.6
2024-01-09,Paris,France,222.0,122.9,244.3,36.9,35.0,0.41,48.9,27.4,22.0,3.3
2024-01-09,São Paulo,Brazil,297.0,177.8,131.6,45.9,48.1,7.83,119.3,7.2,69.0,13.7
2024-01-09,Sydney,Australia,59.0,123.5,159.8,13.9,47.1,6.51,37.5,26.3,72.0,8.5
2024-01-09,Tokyo,Japan,166.0,78.5,269.3,15.8,33.3,5.63,158.4,33.5,12.0,6.6
2024-01-09,Delhi,India,186.0,151.2,75.5,70.8,34.8,1.52,140.8,6.3,69.0,13.2
2024-01-09,London,UK,117.0,190.7,29.1,82.2,6.5,1.09,70.2,39.3,11.0,13.6
2024-01-09,Los Angeles,USA,220.0,168.0,121.1,47.2,48.8,6.45,70.7,4.9,35.0,10.0
2024-01-09,New York,USA,159.0,168.5,162.7,77.5,10.6,5.67,153.4,30.6,45.0,3.1
2024-01-09,Beijing,China,246.0,54.2,18.8,50.5,3.3,8.97,77.1,18.1,19.0,14.9
2024-01-10,Cairo,Egypt,79.0,125.4,247.1,85.2,18.6,8.21,159.5,30.1,38.0,7.8
2024-01-10,São Paulo,Brazil,273.0,84.0,201.5,69.9,45.0,8.17,92.8,27.0,71.0,6.7
2024-01-10,Sydney,Australia,185.0,54.3,263.2,27.9,27.8,0.63,185.8,-2.5,76.0,4.4
2024-01-10,Tokyo,Japan,143.0,50.4,144.2,54.8,34.4,2.4,172.0,7.8,39.0,1.8
2024-01-10,Paris,France,49.0,189.8,279.0,13.8,15.1,8.55,123.3,18.7,76.0,3.5
2024-01-10,Beijing,China,157.0,205.8,225.7,68.8,25.2,9.63,19.9,10.9,14.0,13.9
2024-01-10,London,UK,118.0,92.2,236.4,85.9,19.2,2.52,79.5,17.8,52.0,9.3
2024-01-10,Los Angeles,USA,30.0,245.2,202.4,56.4,4.3,2.81,161.4,16.7,73.0,6.3
2024-01-10,New York,USA,125.0,167.1,132.7,87.2,48.5,3.89,118.8,-7.5,21.0,3.8
2024-01-10,Delhi,India,50.0,219.6,267.4,71.6,46.1,8.99,158.6,3.6,39.0,1.8
2024-01-11,Tokyo,Japan,55.0,133.4,174.3,58.5,11.1,5.26,148.9,27.3,29.0,7.3
2024-01-11,Cairo,Egypt,161.0,222.3,211.7,67.6,29.9,1.04,114.9,16.0,59.0,13.5
2024-01-11,São Paulo,Brazil,179.0,219.7,35.2,98.8,36.0,8.34,176.2,35.5,56.0,11.7
2024-01-11,Sydney,Australia,285.0,61.5,153.5,79.5,27.4,1.56,130.0,20.2,71.0,3.2
2024-01-11,Paris,France,120.0,185.4,247.6,39.6,26.9,6.94,186.0,2.5,54.0,12.0
2024-01-11,New York,USA,78.0,41.5,94.0,75.5,19.3,1.18,197.3,18.1,50.0,5.3
2024-01-11,Beijing,China,150.0,100.7,15.8,90.4,41.1,0.53,116.3,-8.2,37.0,3.0
2024-01-11,London,UK,292.0,121.0,22.9,30.2,12.5,7.01,189.8,15.6,44.0,6.8
2024-01-11,Los Angeles,USA,66.0,152.2,211.0,5.3,20.4,5.1,33.0,-1.6,78.0,2.3
2024-01-11,Delhi,India,171.0,75.9,98.5,77.5,3.7,3.78,165.1,10.4,82.0,12.5
2024-01-12,Tokyo,Japan,103.0,81.1,62.0,73.0,45.3,0.13,175.6,23.5,49.0,1.2
2024-01-12,Cairo,Egypt,296.0,44.6,164.2,45.4,16.7,9.85,176.2,-8.0,51.0,6.5
2024-01-12,São Paulo,Brazil,250.0,230.9,262.9,55.5,39.1,4.82,153.9,7.7,67.0,13.3
2024-01-12,Sydney,Australia,131.0,76.1,141.6,32.3,4.1,4.38,21.7,-8.1,86.0,11.7
2024-01-12,Paris,France,264.0,179.9,80.0,41.3,35.3,7.78,183.4,2.1,76.0,4.0
2024-01-12,Los Angeles,USA,132.0,164.5,66.0,5.3,25.5,8.21,39.2,39.6,61.0,4.3
2024-01-12,Beijing,China,80.0,69.4,252.4,6.5,9.4,3.37,78.9,3.2,82.0,11.2
2024-01-12,London,UK,197.0,184.2,156.4,18.7,41.7,9.29,86.1,20.1,19.0,11.5
2024-01-12,Delhi,India,177.0,41.7,205.0,85.6,17.6,6.34,13.9,15.6,86.0,14.9
2024-01-12,New York,USA,74.0,161.8,93.3,29.7,22.8,9.14,17.8,29.9,22.0,3.7
2024-01-13,Cairo,Egypt,192.0,97.7,199.0,25.1,16.4,0.43,29.3,-7.3,10.0,4.9
